日本標準産業分類/大分類,日本標準産業分類/中分類,日本標準産業分類/小分類・細分類,母集団割合（％）,本報告書での分類,回答割合（％）
"Ⅰ卸売業,小売業",52飲食料品卸売業,521農畜産物・水産物卸売業,15.2,食料品卸売業/生鮮食品卸売業,16.6
"Ⅰ卸売業,小売業",52飲食料品卸売業,522食料・飲料卸売業,14.1,食料品卸売業/加工食品等卸売業,14.6
"Ⅰ卸売業,小売業",51繊維・衣服等卸売業,512衣服卸売業,,衣料品関連卸売業,
"Ⅰ卸売業,小売業",51繊維・衣服等卸売業,513身の回り品卸売業,,衣料品関連卸売業,
,,512衣服卸売業/513身の回り品卸売業,18.2,衣料品関連卸売業,19.1
"Ⅰ卸売業,小売業",54機械器具卸売業,543電気機械器具卸売業,,住関連卸売業,
"Ⅰ卸売業,小売業",55その他の卸売業,551家具・建具・じゅう器等卸売業,,住関連卸売業,
,,543電気機械器具卸売業/551家具・建具・じゅう器等卸売業,13.9,住関連卸売業,10.9
"Ⅰ卸売業,小売業",55その他の卸売業,552医薬品・化粧品等卸売業,,その他卸売業,
"Ⅰ卸売業,小売業",55その他の卸売業,553紙・紙製品卸売業,,その他卸売業,
"Ⅰ卸売業,小売業",55その他の卸売業,5599他に分類されないその他の卸売業,,その他卸売業,
"Ⅰ卸売業,小売業",50各種商品卸売業,5019その他の各種商品卸売業,,その他卸売業,
,,552医薬品・化粧品等卸売業/553紙・紙製品卸売業/5599他に分類されないその他の卸売業/5019その他の各種商品卸売業,38.6,その他卸売業,37.9
,,,,無回答,0.9
,,計,100,計,100
