表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,1875,0.3,3.7,63.7,20.2,8,4.1
業種別,,総合商品小売業,148,0.7,4.1,79.1,2,2.7,11.5
業種別,,生鮮食品小売業,105,0,1.9,65.7,20,3.8,8.6
業種別,,食料品関連小売業,483,0,5.2,67.3,18.2,6.2,3.1
業種別,,衣料品関連小売業,290,0.7,3.8,43.8,31.4,18.6,1.7
業種別,,住関連小売業,155,0,4.5,57.4,22.6,11.6,3.9
業種別,,その他小売業,692,0.3,2.7,67.6,20.1,5.8,3.5
従業者規模別,,1～2人,1000,0.2,2.4,60.5,22.5,10.8,3.6
従業者規模別,,3～5人,460,0.4,4.8,62.2,23,6.3,3.3
従業者規模別,,6～19人,254,0,7.9,72.8,11.4,2.8,5.1
従業者規模別,,20人以上,127,0.8,2.4,83.5,5.5,1.6,6.3
売上高増減別(前年同期比),,増加,134,0.7,11.2,74.6,7.5,2.2,3.7
売上高増減別(前年同期比),,横ばい,241,0.4,5.8,81.3,6.6,2.5,3.3
売上高増減別(前年同期比),,減少,1434,0.2,2.9,60.2,24.3,9.8,2.7
売上高増減別(3年前),,増加,130,1.5,11.5,79.2,4.6,1.5,1.5
売上高増減別(3年前),,横ばい,338,0.3,5,83.1,7.4,1.8,2.4
売上高増減別(3年前),,減少,1346,0.1,2.7,58.2,25.4,10.4,3
