学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,5,197,2,x,x,3,x,x
高校卒,3,21,5,208,9,169,0.8,9,203,1
高校卒,5,23,5,217,10,292,1.3,10,378,1.7
高校卒,10,28,6,245,10,675,2.8,10,876,3.6
高校卒,15,33,6,276,10,1278,4.6,10,1622,5.9
高校卒,20,38,5,293,10,1827,6.2,10,2290,7.8
高校卒,25,43,4,x,9,2444,7.9,9,2928,9.4
高校卒,30,48,4,x,10,3147,10.2,10,3860,12.5
高校卒,35,53,4,x,10,3666,10.9,10,4558,13.6
高校卒,37,55,3,x,9,4189,12.1,9,5057,14.6
高校卒,定年,定年,4,x,-,-,-,7,7169,17.6
高専・短大卒,1,21,6,203,4,x,x,5,84,0.4
高専・短大卒,3,23,6,216,10,207,1,10,244,1.1
高専・短大卒,5,25,5,233,9,375,1.6,9,481,2.1
高専・短大卒,10,30,5,256,10,861,3.4,10,1075,4.2
高専・短大卒,15,35,5,282,9,1399,5,9,1721,6.1
高専・短大卒,20,40,6,308,11,2014,6.5,11,2386,7.7
高専・短大卒,25,45,5,322,10,2688,8.3,10,3261,10.1
高専・短大卒,30,50,4,x,10,3613,10.5,10,4172,12.1
高専・短大卒,35,55,4,x,11,4045,11.7,11,4880,14.1
高専・短大卒,定年,定年,4,x,-,-,-,8,6926,16.8
大学卒,1,23,8,214,3,x,x,4,x,x
大学卒,3,25,8,228,11,201,0.9,11,248,1.1
大学卒,5,27,8,248,12,392,1.6,12,508,2
大学卒,10,32,7,280,12,907,3.2,12,1180,4.2
大学卒,15,37,6,297,10,1667,5.6,10,2029,6.8
大学卒,20,42,7,328,12,2491,7.6,12,2752,8.4
大学卒,25,47,5,340,11,3295,9.7,11,3822,11.2
大学卒,30,52,6,365,12,4135,11.3,12,4740,13
大学卒,33,55,5,412,11,4624,11.2,11,5484,13.3
大学卒,定年,定年,6,448,-,-,-,10,8469,18.9
