表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),減少(20％未満)(％),大幅減少(20％以上)(％),無回答(％)
,,今回調査（全体）,1875,6.3,25.5,19.4,22.8,23.1,2.8
業種別,,総合商品小売業,148,35.1,41.2,9.5,6.8,6.8,0.7
業種別,,生鮮食品小売業,105,7.6,29.5,18.1,31.4,9.5,3.8
業種別,,食料品関連小売業,483,4.8,29,22.6,22.6,17.8,3.3
業種別,,衣料品関連小売業,290,1.4,14.8,17.2,24.1,40.3,2.1
業種別,,住関連小売業,155,1.9,21.9,16.8,25.2,29.7,4.5
業種別,,その他小売業,692,4,24.6,21,24.1,23.7,2.6
従業者規模別,,1～2人,1000,1.6,21.9,18.6,27.5,27.7,2.7
従業者規模別,,3～5人,460,4.8,27.6,19.8,21.7,23,3
従業者規模別,,6～19人,254,15.4,32.7,24.4,13.8,11.4,2.4
従業者規模別,,20人以上,127,31.5,34.6,16.5,7.9,6.3,3.1
売上高増減別(前年同期比),,増加,134,37.3,44,12.7,3,0.7,2.2
売上高増減別(前年同期比),,横ばい,241,8.3,53.1,20.7,11.6,4.1,2.1
売上高増減別(前年同期比),,減少,1434,3.2,19,20.3,26.6,28.5,2.4
売上高増減別(3年前),,増加,130,40,39.2,7.7,5.4,5.4,2.3
売上高増減別(3年前),,横ばい,338,11.8,49.1,21.6,7.7,7.4,2.4
売上高増減別(3年前),,減少,1346,1.6,18.2,20.3,28.8,28.7,2.5
店舗立地別,,商業地,609,3.8,21.5,20.7,26.6,25.6,1.8
店舗立地別,,大型ターミナル駅周辺,16,6.3,25,18.8,18.8,18.8,12.5
店舗立地別,,駅周辺（大型ターミナル駅を除く）,268,8.6,31,20.1,20.1,19.4,0.7
店舗立地別,,ロードサイド,127,12.6,28.3,17.3,19.7,20.5,1.6
店舗立地別,,住宅街,664,6.9,27.7,20,21.8,21.2,2.3
店舗立地別,,オフィス街,55,9.1,23.6,18.2,12.7,36.4,0
店舗立地別,,工業地・倉庫街,9,0,33.3,22.2,33.3,0,11.1
店舗立地別,,その他,38,2.6,18.4,18.4,18.4,36.8,5.3
所在地別,,都心,152,7.9,19.1,15.1,21.1,36.2,0.7
所在地別,,副都心,189,10.6,24.9,13.2,20.1,28.6,2.6
所在地別,,城東,443,5.6,24.4,20.3,23.7,23.3,2.7
所在地別,,城南,195,6.2,26.7,17.9,24.6,21.5,3.1
所在地別,,城西,333,6.3,28.2,22.2,20.7,20.4,2.1
所在地別,,城北,123,1.6,25.2,19.5,28.5,22.8,2.4
所在地別,,多摩,436,5.7,26.8,21.3,22.7,19.3,4.1
