名称,所在地,設置フロア,利用可能面積[平方メートル],設置年度,備考
本所防災備蓄倉庫,墨田区本所2-6-9,,146.89,昭和58年度,外手児童館に併設
白鬚東防災備蓄倉庫,墨田区堤通2-7-13  13号棟,,126,昭和57年度,都営住宅に併設
国技館内防災備蓄倉庫,墨田区横網1-3-28,,26.8,昭和60年度,(財)日本相撲協会との使用契約
京島防災備蓄倉庫,墨田区京島2-15-5,,117.79,昭和61年度,京島会館(地区会館)に併設
東向島防災備蓄倉庫,墨田区東向島4-8-12,,51,昭和62年度,東向島会館に併設
庁舎内防災備蓄倉庫,墨田区吾妻橋1-23-20,,46.5,平成2年度,区役所庁舎に併設
横川防災備蓄倉庫,墨田区横川5-9-1,,54,平成7年度,都営住宅･横川コミュニティ会館に併設
業平防災備蓄倉庫,墨田区業平3-2-5,,33,平成10年度,防災待機職員住宅に併設
国際ファッションセンタービル内防災備蓄倉庫,墨田区横網1-6-1,,123.79,平成12年度,国際ファッションセンター株式会社との使用契約
NTTドコモ墨田ビル内防災備蓄倉庫,墨田区横網1-9-2,,77,平成18年度,株式会社エヌ・ティ・ティ・ドコモとの使用契約
太平四丁目防災備蓄倉庫,墨田区太平4-1-2,,210.35,平成18年度,東京建物株式会社と使用契約
総合体育館防災備蓄倉庫,墨田区錦糸4-15-1,,36.7,平成22年度,すみだスポーツサポートPFI株式会社との使用契約
スカイツリーウエストヤードロータリー防災備蓄倉庫,墨田区押上1-1-2,2階,220.12,平成24年度,東武鉄道株式会社と使用契約
本所地域プラザ防災備蓄倉庫,墨田区本所1-13-4,,13.05,平成25年度,本所地域プラザBIG SHIPに併設
京島三丁目コミュニティ住宅防災備蓄倉庫,墨田区京島3-3-1,,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
第7コミュニティ住宅防災備蓄倉庫,墨田区京島3-3-6,3階,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
第8コミュニティ住宅防災備蓄倉庫,墨田区京島3-52-8,,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
ホンダカーズ東京押上店防災備蓄倉庫,墨田区押上2-22-4,1階,28.78,平成26年度,株式会社東京ホンダホールディングスと使用契約
京成押上ビル防災備蓄倉庫,墨田区押上1-10-3,5階,30.72,平成27年度,京成電鉄株式会社と使用契約
イーストコア曳舟二番館防災備蓄倉庫,墨田区京島1-1-2,2階,7.9,平成21年度,管理組合と使用契約
東武曳舟駅防災備蓄倉庫,墨田区東向島2-26,,9.42,令和元年度,東武鉄道株式会社と使用契約
八広防災備蓄倉庫,墨田区八広6-35-1,1階,69.95,令和元年度,すみだ土木事務所に併設
総合運動場防災備蓄倉庫,墨田区堤通2-11-1,,100.03,令和元年度,墨田区総合運動場に併設
情報経営イノベーション専門職大学防災備蓄倉庫,墨田区文花1-18-13,1階,35.86,令和元年度,学校法人電子学園と使用契約
アパホテル防災備蓄倉庫,墨田区横網1-11-10,3階,71.04,令和2年度,アパ（株）と使用契約
両国リバーセンター防災備蓄倉庫,墨田区横網1-2-13,3階,60.23,令和2年度,ヒューリック（株）と使用契約
関東マツダ墨田店防災備蓄倉庫,墨田区立花5-1-8,1階,20.56,令和2年度,（株）関東マツダと使用契約
