,,,問9(5).集会や体育など整列しなくてはいけないときに、列に並ばなかった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6565,5359,645,448,113,203
全体,,構成比（％）,100.0,81.6,9.8,6.8,1.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2193,1768,263,141,21,101
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,80.6,12.0,6.4,1.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1110,810,172,109,19,72
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,73.0,15.5,9.8,1.7,
小中高校生別×男女別,小学生-女子,回答者数（人）,1083,958,91,32,2,29
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,88.5,8.4,3.0,0.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2463,2039,215,164,45,55
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,82.8,8.7,6.7,1.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1241,963,139,108,31,36
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,77.6,11.2,8.7,2.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1222,1076,76,56,14,19
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,88.1,6.2,4.6,1.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1819,1485,155,135,44,43
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,81.6,8.5,7.4,2.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,634,75,63,30,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,79.1,9.4,7.9,3.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1017,851,80,72,14,24
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,83.7,7.9,7.1,1.4,
