地区名,,小中高校生別／合計,小学生,中学生,高校生,不明
全体,回答者数（人）,6768,2335,2559,1874,0
全体,構成比（％）,100.0,34.5,37.8,27.7,
A地区,回答者数（人）,398,172,208,18,0
A地区,構成比（％）,100.0,43.2,52.3,4.5,
B地区,回答者数（人）,810,384,397,29,0
B地区,構成比（％）,100.0,47.4,49.0,3.6,
C地区,回答者数（人）,494,269,219,6,0
C地区,構成比（％）,100.0,54.5,44.3,1.2,
D地区,回答者数（人）,986,387,461,138,0
D地区,構成比（％）,100.0,39.2,46.8,14.0,
E地区,回答者数（人）,874,252,358,264,0
E地区,構成比（％）,100.0,28.8,41.0,30.2,
F地区,回答者数（人）,534,286,233,15,0
F地区,構成比（％）,100.0,53.6,43.6,2.8,
G地区,回答者数（人）,742,203,346,193,0
G地区,構成比（％）,100.0,27.4,46.6,26.0,
H地区,回答者数（人）,657,305,268,84,0
H地区,構成比（％）,100.0,46.4,40.8,12.8,
その他,回答者数（人）,1228,52,53,1123,0
その他,構成比（％）,100.0,4.2,4.3,91.4,
不明,回答者数（人）,45,25,16,4,0
不明,構成比（％）,100.0,55.6,35.6,8.9,
