,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4007,23.9,16.3,30.7,29.1
男子全体,1977,26.5,19.1,28.0,26.5
小学生男子,765,20.5,17.1,32.8,29.5
中学生男子,778,30.2,20.7,24.3,24.8
高校生男子,434,30.2,19.6,26.3,24.0
女子全体,1980,21.2,13.7,33.4,31.7
小学生女子,666,15.6,12.9,34.8,36.6
中学生女子,758,25.6,14.4,30.9,29.2
高校生女子,556,21.9,13.7,35.1,29.3
