,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2322,5.9,7.7,25.1,61.3
A地区,203,8.4,7.9,24.1,59.6
B地区,385,4.7,7.8,23.1,64.4
C地区,196,5.1,8.7,25.0,61.2
D地区,362,3.3,8.0,28.2,60.5
E地区,347,4.9,4.3,26.2,64.6
F地区,226,7.1,11.5,23.9,57.5
G地区,342,6.4,6.1,24.3,63.2
H地区,261,9.6,9.2,25.3,55.9
