,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6680,34.4,43.7,17.1,4.9
男子全体,3230,31.4,41.8,20.3,6.5
小学生男子,1150,30.5,37.8,23.1,8.5
中学生男子,1267,31.9,42.4,19.3,6.5
高校生男子,813,32.0,46.6,17.8,3.6
女子全体,3359,37.1,45.7,13.9,3.2
小学生女子,1098,38.3,41.4,14.5,5.7
中学生女子,1225,38.5,44.9,14.0,2.6
高校生女子,1036,34.2,51.3,13.3,1.3
