,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,6258,42.1,40.5,12.7,4.7
男子全体,2990,41.4,39.9,12.6,6.0
小学生男子,1076,46.9,37.0,11.4,4.6
中学生男子,1149,40.7,40.5,11.2,7.6
高校生男子,765,34.6,43.3,16.5,5.6
女子全体,3190,42.9,41.1,12.7,3.4
小学生女子,1046,49.1,36.7,11.1,3.1
中学生女子,1157,41.7,42.3,12.4,3.6
高校生女子,987,37.5,44.4,14.7,3.4
