,,,問10.あなたは地域活動に参加していますか、もしくは、参加していましたか／合計,参加している,以前、参加していた,今も以前も参加していない,不明
全体,,回答者数（人）,6240,1830,2214,2196,528
全体,,構成比（％）,100.0,29.3,35.5,35.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2050,1004,448,598,244
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,49.0,21.9,29.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1023,574,206,243,159
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,56.1,20.1,23.8,
小中高校生別×男女別,小学生-女子,回答者数（人）,1027,430,242,355,85
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,41.9,23.6,34.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2332,666,882,784,186
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,28.6,37.8,33.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1151,376,409,366,126
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,32.7,35.5,31.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1181,290,473,418,60
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,24.6,40.1,35.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1774,131,863,780,88
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.4,48.6,44.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,780,82,355,343,41
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,10.5,45.5,44.0,
小中高校生別×男女別,高校生-女子,回答者数（人）,994,49,508,437,47
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,4.9,51.1,44.0,
