,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6693,3.7,14.2,35.1,47.0
男子全体,3234,5.8,16.3,35.6,42.3
小学生男子,1154,2.7,8.7,29.9,58.8
中学生男子,1264,6.6,18.2,36.8,38.4
高校生男子,816,9.2,24.0,41.7,25.1
女子全体,3367,1.7,12.2,34.6,51.5
小学生女子,1096,1.5,5.3,23.4,69.8
中学生女子,1233,1.7,12.1,33.6,52.6
高校生女子,1038,1.9,19.6,47.6,30.9
