,,,問8(9).ごみや空き缶、ガムなどを道に捨てる人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6583,425,590,1931,3637,185
全体,,構成比（％）,100.0,6.5,9.0,29.3,55.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2199,113,122,476,1488,95
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.1,5.5,21.6,67.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1113,81,84,246,702,69
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,7.3,7.5,22.1,63.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1086,32,38,230,786,26
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.9,3.5,21.2,72.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2468,206,251,763,1248,50
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,8.3,10.2,30.9,50.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,154,159,411,518,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,12.4,12.8,33.1,41.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1226,52,92,352,730,15
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,4.2,7.5,28.7,59.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1826,97,210,668,851,36
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.3,11.5,36.6,46.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,805,66,132,306,301,16
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.2,16.4,38.0,37.4,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,31,78,362,550,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.0,7.6,35.5,53.9,
