,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4009,4.1,8.4,31.8,55.7
男子全体,1979,5.0,9.4,29.2,56.4
小学生男子,765,3.5,6.7,22.5,67.3
中学生男子,780,6.3,10.1,32.9,50.6
高校生男子,434,5.1,13.1,34.1,47.7
女子全体,1980,3.2,7.4,34.6,54.8
小学生女子,667,3.4,4.8,24.6,67.2
中学生女子,758,3.4,7.9,37.7,50.9
高校生女子,555,2.5,9.7,42.3,45.4
