,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2165,5.7,9.8,29.6,54.8
A地区,167,12.6,9.6,25.7,52.1
B地区,381,5.5,8.4,31.5,54.6
C地区,263,4.2,11.4,23.6,60.8
D地区,317,6.0,14.2,27.4,52.4
E地区,250,4.4,9.2,31.2,55.2
F地区,283,4.2,11.0,36.7,48.1
G地区,202,5.0,5.0,29.2,60.9
H地区,302,6.3,8.6,29.1,56.0
