,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4007,18.3,18.9,26.9,35.9
男子全体,1979,20.0,19.9,26.1,34.0
小学生男子,765,22.2,18.7,26.0,33.1
中学生男子,780,19.7,19.1,25.1,36.0
高校生男子,434,16.6,23.5,27.9,32.0
女子全体,1978,16.4,17.9,27.8,38.0
小学生女子,667,18.0,18.7,25.8,37.5
中学生女子,756,17.1,17.6,25.0,40.3
高校生女子,555,13.5,17.3,33.9,35.3
