,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6685,39.6,44.0,12.1,4.4
男子全体,3236,36.1,42.2,15.9,5.7
小学生男子,1151,35.6,36.4,18.9,9.1
中学生男子,1268,36.7,43.2,15.4,4.7
高校生男子,817,36.0,48.8,12.6,2.6
女子全体,3356,42.9,46.0,8.2,2.9
小学生女子,1091,45.6,38.2,10.0,6.1
中学生女子,1227,43.6,46.0,8.3,2.0
高校生女子,1038,39.1,54.1,6.2,0.6
