,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,6244,33.3,52.5,11.5,2.7
男子全体,2983,32.0,50.8,13.2,4.0
小学生男子,1070,34.1,49.3,13.1,3.5
中学生男子,1148,31.9,48.9,13.9,5.4
高校生男子,765,29.2,55.8,12.3,2.7
女子全体,3183,34.6,54.2,9.8,1.4
小学生女子,1042,39.7,48.1,10.6,1.6
中学生女子,1157,32.5,54.9,11.1,1.5
高校生女子,984,31.7,59.9,7.4,1.0
