,,,問8(10).電車の中で、友達と大きな声で騒ぐ人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6569,298,421,1652,4198,199
全体,,構成比（％）,100.0,4.5,6.4,25.1,63.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2194,85,84,363,1662,100
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,3.9,3.8,16.5,75.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1112,60,51,195,806,70
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,5.4,4.6,17.5,72.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1082,25,33,168,856,30
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.3,3.0,15.5,79.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2459,153,187,614,1505,59
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,6.2,7.6,25.0,61.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1239,114,116,315,694,38
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,9.2,9.4,25.4,56.0,
小中高校生別×男女別,中学生-女子,回答者数（人）,1220,39,71,299,811,21
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.2,5.8,24.5,66.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1825,56,145,646,978,37
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.1,7.9,35.4,53.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,38,82,257,427,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.7,10.2,32.0,53.1,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,18,63,389,551,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.8,6.2,38.1,54.0,
