,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2364,8.6,20.6,41.6,29.1
A地区,207,9.2,20.3,42.5,28.0
B地区,394,9.1,22.1,36.3,32.5
C地区,198,9.1,24.2,42.4,24.2
D地区,367,6.3,20.4,46.0,27.2
E地区,354,8.5,21.5,41.2,28.8
F地区,233,7.3,18.9,51.5,22.3
G地区,345,8.7,18.6,35.7,37.1
H地区,266,11.7,19.5,41.4,27.4
