,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2328,8.1,19.4,38.7,33.7
A地区,205,9.8,18.5,40.5,31.2
B地区,387,8.8,19.9,35.9,35.4
C地区,196,6.6,19.9,44.4,29.1
D地区,361,4.7,18.8,42.7,33.8
E地区,350,8.9,18.3,36.6,36.3
F地区,224,8.9,19.2,43.3,28.6
G地区,341,7.6,17.3,36.4,38.7
H地区,264,10.6,24.2,34.1,31.1
