,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2329,14.0,28.3,34.3,23.4
A地区,205,17.6,29.8,34.1,18.5
B地区,388,13.7,25.3,36.9,24.2
C地区,195,14.4,27.2,37.9,20.5
D地区,360,11.1,28.9,35.6,24.4
E地区,350,14.3,29.4,30.9,25.4
F地区,226,12.4,28.3,38.5,20.8
G地区,341,13.8,27.9,32.8,25.5
H地区,264,17.0,30.3,28.8,23.9
