,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2095,5.3,8.4,30.0,56.4
A地区,165,7.3,6.7,30.3,55.8
B地区,365,4.1,8.2,24.7,63.0
C地区,259,8.5,8.1,31.3,52.1
D地区,303,5.6,11.6,29.7,53.1
E地区,244,3.7,4.1,33.2,59.0
F地区,274,3.3,10.9,35.8,50.0
G地区,190,6.8,10.0,24.2,58.9
H地区,295,4.4,6.4,31.5,57.6
