,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,2019,36.9,48.5,12.0,2.6
A地区,151,43.0,43.0,11.3,2.6
B地区,355,46.5,42.3,9.0,2.3
C地区,254,31.9,52.0,12.6,3.5
D地区,305,34.4,48.5,13.4,3.6
E地区,231,37.7,48.5,13.4,0.4
F地区,255,29.4,55.3,12.5,2.7
G地区,187,42.8,43.3,11.2,2.7
H地区,281,31.0,53.4,12.8,2.8
