,,,問9(9).ごみや空き缶、ガムなどを道に捨てた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6565,5327,542,527,169,203
全体,,構成比（％）,100.0,81.1,8.3,8.0,2.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2189,1883,191,94,21,105
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,86.0,8.7,4.3,1.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1108,912,113,68,15,74
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,82.3,10.2,6.1,1.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1081,971,78,26,6,31
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,89.8,7.2,2.4,0.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2464,1921,220,242,81,54
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,78.0,8.9,9.8,3.3,
小中高校生別×男女別,中学生-男子,回答者数（人）,1243,877,158,151,57,34
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,70.6,12.7,12.1,4.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1221,1044,62,91,24,20
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,85.5,5.1,7.5,2.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,1452,123,187,60,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,79.7,6.8,10.3,3.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,555,78,123,46,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,69.2,9.7,15.3,5.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1020,897,45,64,14,21
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,87.9,4.4,6.3,1.4,
