,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2163,4.1,5.3,25.6,65.1
A地区,167,5.4,5.4,28.7,60.5
B地区,381,3.1,3.4,23.4,70.1
C地区,263,3.0,3.8,27.0,66.2
D地区,316,5.4,6.3,30.4,57.9
E地区,250,4.4,7.2,20.4,68.0
F地区,282,2.5,5.0,29.1,63.5
G地区,201,5.0,6.5,20.4,68.2
H地区,303,4.6,5.6,24.8,65.0
