,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4005,16.0,18.4,26.3,39.3
男子全体,1978,16.7,18.7,25.0,39.6
小学生男子,763,17.0,18.2,25.3,39.4
中学生男子,781,18.1,18.7,24.1,39.2
高校生男子,434,13.8,19.6,26.0,40.6
女子全体,1977,15.1,18.2,27.6,39.2
小学生女子,664,17.0,17.5,23.2,42.3
中学生女子,757,16.5,18.2,26.4,38.8
高校生女子,556,11.0,18.9,34.4,35.8
