,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6548,13.4,13.0,43.4,30.1
男子全体,3142,14.6,12.0,42.8,30.5
小学生男子,1105,16.6,18.6,44.6,20.3
中学生男子,1235,13.1,10.1,43.4,33.4
高校生男子,802,14.2,6.0,39.5,40.3
女子全体,3316,12.2,14.0,43.9,29.9
小学生女子,1078,17.4,24.4,45.5,12.6
中学生女子,1221,9.6,11.4,45.2,33.8
高校生女子,1017,9.7,6.1,40.7,43.5
