,,,問4(3).友達から何かをしてもらったのに、感謝の言葉を言わない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6715,350,643,2256,3466,53
全体,,構成比（％）,100.0,5.2,9.6,33.6,51.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2268,135,221,683,1229,26
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,6.0,9.7,30.1,54.2,
小中高校生別×男女別,小学生-男子,回答者数（人）,1163,104,138,362,559,19
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.9,11.9,31.1,48.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,31,83,321,670,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.8,7.5,29.0,60.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2500,144,258,865,1233,18
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,5.8,10.3,34.6,49.3,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,110,176,437,543,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,8.7,13.9,34.5,42.9,
小中高校生別×男女別,中学生-女子,回答者数（人）,1234,34,82,428,690,7
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,2.8,6.6,34.7,55.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1856,68,150,685,953,6
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.7,8.1,36.9,51.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,45,99,322,351,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,5.5,12.1,39.4,43.0,
小中高校生別×男女別,高校生-女子,回答者数（人）,1039,23,51,363,602,2
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.2,4.9,34.9,57.9,
