,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6680,43.5,42.8,11.9,1.8
男子全体,3225,41.0,42.9,13.9,2.2
小学生男子,1147,42.6,39.5,14.6,3.3
中学生男子,1261,42.1,42.1,14.0,1.7
高校生男子,817,36.8,48.8,12.9,1.5
女子全体,3362,45.9,43.0,9.7,1.4
小学生女子,1100,52.9,36.5,8.6,1.9
中学生女子,1225,44.7,44.6,9.1,1.7
高校生女子,1037,40.0,47.8,11.6,0.6
