,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6686,3.8,12.5,34.5,49.2
男子全体,3237,5.2,13.7,35.8,45.4
小学生男子,1156,4.1,9.9,28.1,58.0
中学生男子,1266,6.7,15.5,36.0,41.8
高校生男子,815,4.4,16.2,46.4,33.0
女子全体,3357,2.5,11.4,33.3,52.8
小学生女子,1094,2.7,7.9,21.2,68.2
中学生女子,1228,3.0,13.0,35.3,48.6
高校生女子,1035,1.5,13.3,43.6,41.5
