,,,問14(3).あなた自身は、ルールやマナーを守る人間だと思う／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,6244,2080,3277,719,168,524
全体,,構成比（％）,100.0,33.3,52.5,11.5,2.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2112,779,1029,250,54,182
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,36.9,48.7,11.8,2.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1070,365,528,140,37,112
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,34.1,49.3,13.1,3.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1042,414,501,110,17,70
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,39.7,48.1,10.6,1.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2305,742,1196,288,79,213
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,32.2,51.9,12.5,3.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1148,366,561,159,62,129
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,31.9,48.9,13.9,5.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1157,376,635,129,17,84
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,32.5,54.9,11.1,1.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1749,535,1016,167,31,113
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,30.6,58.1,9.5,1.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,765,223,427,94,21,56
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,29.2,55.8,12.3,2.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,984,312,589,73,10,57
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,31.7,59.9,7.4,1.0,
