,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,2176,25.8,47.3,21.4,5.5
A地区,190,20.0,48.9,22.6,8.4
B地区,361,30.7,38.8,23.5,6.9
C地区,180,22.2,44.4,28.3,5.0
D地区,341,23.5,49.0,23.2,4.4
E地区,330,27.3,46.4,20.6,5.8
F地区,223,24.7,52.9,17.9,4.5
G地区,313,24.0,54.0,16.3,5.8
H地区,238,30.3,46.2,20.6,2.9
