,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6553,67.0,19.2,12.5,1.3
男子全体,3152,62.6,19.8,15.7,1.9
小学生男子,1109,55.1,27.1,16.2,1.6
中学生男子,1241,61.9,18.4,17.6,2.2
高校生男子,802,74.2,11.8,12.2,1.7
女子全体,3310,71.2,18.5,9.5,0.8
小学生女子,1080,66.7,23.7,9.0,0.6
中学生女子,1215,66.7,19.9,12.4,1.0
高校生女子,1015,81.5,11.1,6.6,0.8
