,,,問5(4).あなたは、友達の悪口を言う／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6703,208,1244,3557,1694,65
全体,,構成比（％）,100.0,3.1,18.6,53.1,25.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2259,52,322,1152,733,35
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,2.3,14.3,51.0,32.4,
小中高校生別×男女別,小学生-男子,回答者数（人）,1161,33,204,614,310,21
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,2.8,17.6,52.9,26.7,
小中高校生別×男女別,小学生-女子,回答者数（人）,1098,19,118,538,423,14
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.7,10.7,49.0,38.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2500,99,542,1315,544,18
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,4.0,21.7,52.6,21.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1267,70,274,640,283,10
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,5.5,21.6,50.5,22.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,29,268,675,261,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,2.4,21.7,54.7,21.2,
小中高校生別×男女別,高校生-全体,回答者数（人）,1853,50,364,1046,393,9
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,2.7,19.6,56.4,21.2,
小中高校生別×男女別,高校生-男子,回答者数（人）,815,30,181,434,170,6
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,3.7,22.2,53.3,20.9,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,20,183,612,223,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.9,17.6,59.0,21.5,
