,,,問9(10).電車の中で、友達と大きな声で騒いだ／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6564,4760,843,807,154,204
全体,,構成比（％）,100.0,72.5,12.8,12.3,2.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2187,1892,187,92,16,107
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,86.5,8.6,4.2,0.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1110,958,86,54,12,72
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,86.3,7.7,4.9,1.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1077,934,101,38,4,35
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,86.7,9.4,3.5,0.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2464,1726,355,314,69,54
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,70.0,14.4,12.7,2.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,896,167,145,34,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,72.1,13.4,11.7,2.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1222,830,188,169,35,19
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,67.9,15.4,13.8,2.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,1079,285,393,65,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,59.2,15.6,21.6,3.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,504,106,164,30,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,62.7,13.2,20.4,3.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1018,575,179,229,35,23
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,56.5,17.6,22.5,3.4,
