,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6691,50.4,39.0,8.3,2.2
男子全体,3236,48.2,40.2,8.9,2.7
小学生男子,1154,46.4,40.5,9.0,4.1
中学生男子,1266,51.2,37.0,9.5,2.3
高校生男子,816,46.0,44.9,7.7,1.5
女子全体,3362,52.6,38.1,7.6,1.7
小学生女子,1099,55.3,33.8,9.1,1.8
中学生女子,1225,52.2,37.2,8.2,2.4
高校生女子,1038,50.1,43.7,5.5,0.7
