,,,問9(7).夜、無灯火のままで自転車に乗った／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6574,4887,561,639,487,194
全体,,構成比（％）,100.0,74.3,8.5,9.7,7.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2193,1699,210,177,107,101
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,77.5,9.6,8.1,4.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1111,814,119,103,75,71
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,73.3,10.7,9.3,6.8,
小中高校生別×男女別,小学生-女子,回答者数（人）,1082,885,91,74,32,30
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,81.8,8.4,6.8,3.0,
小中高校生別×男女別,中学生-全体,回答者数（人）,2468,1799,211,249,209,50
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,72.9,8.5,10.1,8.5,
小中高校生別×男女別,中学生-男子,回答者数（人）,1243,851,114,131,147,34
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,68.5,9.2,10.5,11.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,948,97,118,62,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,77.4,7.9,9.6,5.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,1321,134,204,163,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,72.5,7.4,11.2,8.9,
小中高校生別×男女別,高校生-男子,回答者数（人）,805,552,59,105,89,16
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,68.6,7.3,13.0,11.1,
小中高校生別×男女別,高校生-女子,回答者数（人）,1017,769,75,99,74,24
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,75.6,7.4,9.7,7.3,
