,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6693,69.9,26.1,2.3,1.7
男子全体,3232,61.8,32.6,3.6,2.0
小学生男子,1155,61.8,32.3,4.0,1.9
中学生男子,1261,62.7,31.7,3.1,2.5
高校生男子,816,60.4,34.6,3.7,1.3
女子全体,3370,77.6,20.0,0.9,1.5
小学生女子,1100,77.2,18.7,1.5,2.5
中学生女子,1232,79.4,18.8,0.7,1.1
高校生女子,1038,76.0,22.7,0.6,0.7
