,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6567,65.6,12.6,15.1,6.8
男子全体,3154,64.1,12.5,15.1,8.3
小学生男子,1108,73.3,13.1,9.7,3.9
中学生男子,1242,62.4,12.8,15.0,9.8
高校生男子,804,54.0,11.2,22.6,12.2
女子全体,3322,66.9,12.6,15.1,5.4
小学生女子,1081,74.6,13.2,9.1,3.1
中学生女子,1223,65.4,12.3,17.0,5.3
高校生女子,1018,60.6,12.5,19.2,7.8
