,,平均値,標準偏差,挨拶言葉づかいに関する意識,友人や先生に対するあいさつと言葉づかい,（検定）,友人関係における問題行動,（検定）
男子,挨拶言葉づかいに関する意識,2.97,0.71,－,-0.402,**,0.229,**
男子,友人や先生に対するあいさつと言葉づかい,1.61,0.49,,－,,-0.14,**
男子,友人関係における問題行動,2.98,0.7,,,,－,
女子,挨拶言葉づかいに関する意識,3.22,0.54,－,-0.376,**,0.271,**
女子,友人や先生に対するあいさつと言葉づかい,1.52,0.38,,－,,-0.206,**
女子,友人関係における問題行動,3.16,0.62,,,,－,
注）**：p<0.01,,,,,,,,
