,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6692,2.3,8.8,43.5,45.3
男子全体,3232,3.4,10.9,43.6,42.2
小学生男子,1154,2.7,7.0,31.0,59.3
中学生男子,1264,4.5,13.7,44.0,37.8
高校生男子,814,2.6,11.9,60.7,24.8
女子全体,3367,1.3,6.8,43.7,48.2
小学生女子,1099,1.5,3.0,26.1,69.4
中学生女子,1231,1.5,9.3,47.0,42.1
高校生女子,1037,1.0,7.7,58.3,33.0
