,,,問8(13).道路や駅など公共の場でスマートフォンの画面を見ながら歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6584,973,1693,2063,1855,184
全体,,構成比（％）,100.0,14.8,25.7,31.3,28.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2200,272,381,673,874,94
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,12.4,17.3,30.6,39.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1115,177,197,313,428,67
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,15.9,17.7,28.1,38.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1085,95,184,360,446,27
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,8.8,17.0,33.2,41.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2467,426,667,752,622,51
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,17.3,27.0,30.5,25.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,254,331,344,313,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,20.5,26.7,27.7,25.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,172,336,408,309,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,14.0,27.4,33.3,25.2,
小中高校生別×男女別,高校生-全体,回答者数（人）,1826,258,621,619,328,36
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,14.1,34.0,33.9,18.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,805,123,267,257,158,16
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,15.3,33.2,31.9,19.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,135,354,362,170,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,13.2,34.7,35.5,16.7,
