,,,問4(1).はきはきとした気持ちのよいあいさつをしない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6719,1147,2093,2492,987,49
全体,,構成比（％）,100.0,17.1,31.2,37.1,14.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2270,361,579,928,402,24
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,15.9,25.5,40.9,17.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1165,237,313,419,196,17
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,20.3,26.9,36.0,16.8,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,124,266,509,206,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,11.2,24.1,46.1,18.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2505,473,799,909,324,13
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,18.9,31.9,36.3,12.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1269,305,416,390,158,8
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,24.0,32.8,30.7,12.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1236,168,383,519,166,5
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,13.6,31.0,42.0,13.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1853,300,685,627,241,9
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,16.2,37.0,33.8,13.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,153,314,244,105,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,18.8,38.5,29.9,12.9,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,147,371,383,136,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,14.2,35.8,36.9,13.1,
