,,,問5(7).あなたは、先生に対して、ていねいな言葉づかいをする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6718,3057,2932,583,146,50
全体,,構成比（％）,100.0,45.5,43.6,8.7,2.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2267,1164,861,186,56,27
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,51.3,38.0,8.2,2.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1164,564,452,114,34,18
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,48.5,38.8,9.8,2.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1103,600,409,72,22,9
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,54.4,37.1,6.5,2.0,
小中高校生別×男女別,中学生-全体,回答者数（人）,2504,1131,1078,230,65,14
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,45.2,43.1,9.2,2.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,594,507,127,40,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,46.8,40.0,10.0,3.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1236,537,571,103,25,5
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,43.4,46.2,8.3,2.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1856,719,954,160,23,6
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,38.7,51.4,8.6,1.2,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,354,383,64,16,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,43.3,46.9,7.8,2.0,
小中高校生別×男女別,高校生-女子,回答者数（人）,1039,365,571,96,7,2
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,35.1,55.0,9.2,0.7,
