,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2333,5.7,11.8,36.3,46.3
A地区,205,7.3,16.1,36.6,40.0
B地区,387,5.4,11.1,32.3,51.2
C地区,196,7.1,11.2,37.2,44.4
D地区,363,3.6,11.6,37.7,47.1
E地区,350,4.9,10.3,40.0,44.9
F地区,226,5.8,7.1,35.8,51.3
G地区,342,6.1,9.6,36.5,47.7
H地区,264,6.8,18.9,34.1,40.2
