,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6665,27.5,40.6,23.9,7.9
男子全体,3218,25.0,38.3,26.1,10.6
小学生男子,1146,25.6,34.1,26.4,14.0
中学生男子,1257,27.7,35.7,25.6,11.0
高校生男子,815,20.0,48.1,26.6,5.3
女子全体,3356,29.9,43.0,21.8,5.3
小学生女子,1095,32.4,36.3,22.7,8.6
中学生女子,1225,32.0,44.2,19.4,4.4
高校生女子,1036,24.8,48.6,23.6,2.9
