,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6577,6.4,15.4,38.3,39.9
男子全体,3159,9.1,18.2,36.6,36.2
小学生男子,1113,7.7,10.7,30.9,50.7
中学生男子,1242,10.9,22.0,35.8,31.3
高校生男子,804,8.2,22.6,45.6,23.5
女子全体,3327,3.8,12.9,39.9,43.3
小学生女子,1083,3.0,6.0,29.5,61.5
中学生女子,1223,5.5,17.2,41.0,36.4
高校生女子,1021,2.7,15.1,49.8,32.4
