,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,3997,10.3,21.8,37.5,30.4
男子全体,1974,10.4,22.1,35.2,32.4
小学生男子,763,11.0,22.0,33.7,33.3
中学生男子,777,11.3,19.8,36.7,32.2
高校生男子,434,7.6,26.3,35.0,31.1
女子全体,1975,9.9,21.6,40.0,28.6
小学生女子,665,12.5,24.1,34.1,29.3
中学生女子,756,9.4,21.4,39.9,29.2
高校生女子,554,7.4,18.8,47.1,26.7
