,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2097,7.2,17.8,32.9,42.1
A地区,165,7.3,9.7,38.2,44.8
B地区,366,7.4,19.9,29.5,43.2
C地区,258,8.9,19.0,36.4,35.7
D地区,304,10.5,20.7,32.2,36.5
E地区,243,5.8,16.0,36.2,42.0
F地区,273,3.3,19.4,36.3,41.0
G地区,192,6.8,16.7,26.0,50.5
H地区,296,7.4,16.2,30.1,46.3
