,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2328,9.4,15.2,28.7,46.7
A地区,204,13.7,14.7,28.9,42.6
B地区,386,8.3,15.5,26.4,49.7
C地区,196,9.7,22.4,32.7,35.2
D地区,363,5.8,17.6,26.7,49.9
E地区,350,9.4,12.6,32.0,46.0
F地区,225,8.0,12.9,29.3,49.8
G地区,341,9.7,12.0,28.7,49.6
H地区,263,13.3,15.6,27.0,44.1
