,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2089,5.2,10.2,27.6,57.1
A地区,162,7.4,10.5,16.7,65.4
B地区,365,4.1,8.2,28.5,59.2
C地区,260,7.7,13.5,27.3,51.5
D地区,304,6.3,9.9,29.9,53.9
E地区,243,4.5,7.0,33.3,55.1
F地区,272,4.8,13.6,25.0,56.6
G地区,189,2.6,12.2,29.1,56.1
H地区,294,4.4,8.2,26.9,60.5
