,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,先輩,地域の大人,芸能人やスポーツ選手,マンガやアニメのキャラクター,その他,不明
全体,,回答者数（人）,6089,1755,858,1514,1068,273,679
全体,,構成比（％）,100.0,28.8,14.1,24.9,17.5,4.5,
小中高校生別×男女別,小学生-全体,回答者数（人）,2006,383,354,484,356,90,288
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,19.1,17.6,24.1,17.7,4.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,992,194,165,298,205,43,190
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,19.6,16.6,30.0,20.7,4.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1014,189,189,186,151,47,98
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,18.6,18.6,18.3,14.9,4.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2276,893,351,666,463,108,242
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,39.2,15.4,29.3,20.3,4.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1114,394,184,337,251,62,163
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,35.4,16.5,30.3,22.5,5.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1162,499,167,329,212,46,79
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,42.9,14.4,28.3,18.2,4.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1724,462,138,341,229,72,138
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,26.8,8.0,19.8,13.3,4.2,
小中高校生別×男女別,高校生-男子,回答者数（人）,756,188,69,133,116,46,65
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,24.9,9.1,17.6,15.3,6.1,
小中高校生別×男女別,高校生-女子,回答者数（人）,968,274,69,208,113,26,73
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,28.3,7.1,21.5,11.7,2.7,
