,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2101,14.4,21.2,29.5,34.9
A地区,167,19.2,19.2,26.3,35.3
B地区,366,11.7,23.0,27.3,38.0
C地区,260,16.9,19.2,31.5,32.3
D地区,303,20.1,23.4,30.7,25.7
E地区,244,13.1,18.0,33.6,35.2
F地区,274,10.6,31.4,31.8,26.3
G地区,191,13.1,16.8,23.6,46.6
H地区,296,12.5,15.9,29.1,42.6
