,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6716,44.4,40.7,11.6,3.3
男子全体,3248,43.3,41.5,11.3,3.9
小学生男子,1163,45.4,37.8,11.6,5.2
中学生男子,1268,44.6,42.0,10.4,3.1
高校生男子,817,38.3,46.1,12.1,3.4
女子全体,3375,45.5,40.0,11.9,2.5
小学生女子,1104,50.3,37.1,10.1,2.5
中学生女子,1233,46.0,40.1,12.0,1.9
高校生女子,1038,40.0,43.0,13.8,3.3
