,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2095,9.3,15.4,29.3,46.0
A地区,163,11.0,17.2,23.3,48.5
B地区,368,8.2,16.8,27.2,47.8
C地区,259,11.6,17.4,32.4,38.6
D地区,302,11.6,15.9,27.8,44.7
E地区,244,7.0,13.5,30.7,48.8
F地区,274,7.7,17.9,33.6,40.9
G地区,189,8.5,11.6,31.7,48.1
H地区,296,9.5,12.2,27.0,51.4
