,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6564,72.5,12.8,12.3,2.3
男子全体,3156,74.7,11.4,11.5,2.4
小学生男子,1110,86.3,7.7,4.9,1.1
中学生男子,1242,72.1,13.4,11.7,2.7
高校生男子,804,62.7,13.2,20.4,3.7
女子全体,3317,70.5,14.1,13.1,2.2
小学生女子,1077,86.7,9.4,3.5,0.4
中学生女子,1222,67.9,15.4,13.8,2.9
高校生女子,1018,56.5,17.6,22.5,3.4
