,,,問5(2).あなたは、自分の名前を呼ばれたら、きちんと返事をする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6706,3647,2736,277,46,62
全体,,構成比（％）,100.0,54.4,40.8,4.1,0.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2266,1404,775,73,14,28
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,62.0,34.2,3.2,0.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1163,706,405,39,13,19
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,60.7,34.8,3.4,1.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1103,698,370,34,1,9
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,63.3,33.5,3.1,0.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2498,1305,1050,120,23,20
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,52.2,42.0,4.8,0.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1265,660,517,73,15,12
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,52.2,40.9,5.8,1.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,645,533,47,8,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,52.3,43.2,3.8,0.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,886,876,80,9,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,47.9,47.3,4.3,0.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,363,399,46,8,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,44.5,48.9,5.6,1.0,
小中高校生別×男女別,高校生-女子,回答者数（人）,1035,523,477,34,1,6
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,50.5,46.1,3.3,0.1,
