,,,問11(6).それらの活動では、あなたは年齢の違う人と親しくなったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4005,640,738,1052,1575,39,2724
全体,,構成比（％）,100.0,16.0,18.4,26.3,39.3,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1427,243,255,347,582,25,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,17.0,17.9,24.3,40.8,,
小中高校生別×男女別,小学生-男子,回答者数（人）,763,130,139,193,301,17,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,17.0,18.2,25.3,39.4,,
小中高校生別×男女別,小学生-女子,回答者数（人）,664,113,116,154,281,8,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,17.0,17.5,23.2,42.3,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1538,266,284,388,600,10,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,17.3,18.5,25.2,39.0,,
小中高校生別×男女別,中学生-男子,回答者数（人）,781,141,146,188,306,4,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,18.1,18.7,24.1,39.2,,
小中高校生別×男女別,中学生-女子,回答者数（人）,757,125,138,200,294,6,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,16.5,18.2,26.4,38.8,,
小中高校生別×男女別,高校生-全体,回答者数（人）,990,121,190,304,375,4,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,12.2,19.2,30.7,37.9,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,60,85,113,176,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,13.8,19.6,26.0,40.6,,
小中高校生別×男女別,高校生-女子,回答者数（人）,556,61,105,191,199,1,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,11.0,18.9,34.4,35.8,,
