,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6703,3.1,18.6,53.1,25.3
男子全体,3243,4.1,20.3,52.1,23.5
小学生男子,1161,2.8,17.6,52.9,26.7
中学生男子,1267,5.5,21.6,50.5,22.3
高校生男子,815,3.7,22.2,53.3,20.9
女子全体,3369,2.0,16.9,54.2,26.9
小学生女子,1098,1.7,10.7,49.0,38.5
中学生女子,1233,2.4,21.7,54.7,21.2
高校生女子,1038,1.9,17.6,59.0,21.5
