,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2167,15.6,25.2,41.7,17.5
A地区,167,20.4,24.0,38.9,16.8
B地区,382,12.8,25.1,42.7,19.4
C地区,263,12.2,24.7,47.9,15.2
D地区,318,16.0,29.9,36.2,17.9
E地区,251,17.9,24.7,39.8,17.5
F地区,282,15.2,21.6,45.7,17.4
G地区,202,18.3,23.8,38.1,19.8
H地区,302,15.6,26.5,42.4,15.6
