,,,問6(8).周(まわ)りから笑われるようなことだけはしたくない／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6672,1669,1788,1982,1233,96
全体,,構成比（％）,100.0,25.0,26.8,29.7,18.5,
小中高校生別×男女別,小学生-全体,回答者数（人）,2236,801,509,491,435,58
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,35.8,22.8,22.0,19.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1147,344,261,283,259,35
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,30.0,22.8,24.7,22.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1089,457,248,208,176,23
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,42.0,22.8,19.1,16.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2492,548,678,783,483,26
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,22.0,27.2,31.4,19.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1263,263,310,414,276,14
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,20.8,24.5,32.8,21.9,
小中高校生別×男女別,中学生-女子,回答者数（人）,1229,285,368,369,207,12
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,23.2,29.9,30.0,16.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,280,585,689,297,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,15.1,31.6,37.2,16.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,813,123,225,328,137,8
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,15.1,27.7,40.3,16.9,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,157,360,361,160,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,15.1,34.7,34.8,15.4,
