,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4005,16.6,18.3,26.6,38.5
男子全体,1976,16.5,18.9,25.7,38.9
小学生男子,762,19.2,21.4,25.7,33.7
中学生男子,780,15.9,18.5,24.5,41.2
高校生男子,434,12.9,15.4,27.9,43.8
女子全体,1979,16.6,17.6,27.7,38.1
小学生女子,666,20.0,21.9,24.6,33.5
中学生女子,757,18.4,16.2,25.6,39.8
高校生女子,556,10.1,14.4,34.2,41.4
